time, antenna, sources, flux_percentage, sigma_f, rmse, lowerbound, upperbound
2021-10-05 16:45:38.828825, kat7, 1, 100, 0.0029238211520389696, 0.0828979076687505, 0.0012281584663254522, 0.00642456223808142
2021-10-05 16:45:53.285530, kat7, 2, 100, 0.0014217817208197511, 0.09684829189456128, 0.0004245484814040454, 0.0053430449280811275
2021-10-05 16:46:08.448436, kat7, 2, 70, 0.0006394059530168494, 0.18521151046924525, 3.500684049968398e-05, 0.0050532992448474
2021-10-05 17:35:10.361038, meerkat, 1, 100, 0.0013552037151147432, 0.03884206225925311, 0.0007992586209583925, 0.005999928336399804
2021-10-05 18:27:02.394585, meerkat, 2, 100, 0.0012154290648336572, 0.03895533578539219, 0.00037247343368265046, 0.005925036607016607
2021-10-05 19:22:30.001362, meerkat, 2, 70, 0.00028772280101788605, 0.09998725049391045, 6.50503756326445e-05, 0.011118236795099068
2021-10-05 20:22:38.000169, meerkat, 100, 30, 7.925314890683773e-05, 0.1048527785965369, 2.935359096320478e-05, 0.004098584600500363
2021-10-05 21:26:56.930333, meerkat, 100, 50, 0.00027745957140320717, 0.06747700155147651, 1.5306454771069414e-05, 0.005439358913532438
2021-10-05 22:37:52.930188, meerkat, 100, 70, 0.0004901221189967845, 0.04641517930208512, 0.0001448527485644227, 0.0056057377479716
2021-10-05 23:55:08.373764, meerkat, 100, 100, 0.0009331515163596253, 0.028635666224903863, 0.00027838084341671223, 0.005671402555086632
2021-10-06 00:02:49.232390, vlab, 1, 100, 0.001546536585406527, 0.04994102425376211, 0.0004164893583426837, 0.005145947719108569
2021-10-06 00:11:23.106856, vlab, 2, 100, 0.0015525531566781122, 0.05260000122129253, 0.0006393471718118409, 0.005525948701119417
2021-10-06 00:21:05.955211, vlab, 2, 70, 0.0003574770080432947, 0.10079678024503143, 9.590881141081139e-05, 0.004711790117689082
